release_id,phase_name,round_number,collected_at,metric_key,metric_name,value,threshold,unit,is_breach,snapshot_has_breach
050ddb89569a,非核心园区-室外区域,1,2026-06-20T14:28:29.009931,entry_failure_rate,入园失败率,2.19,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,1,2026-06-20T14:28:29.009931,dock_conflict_rate,月台冲突率,0.7,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,1,2026-06-20T14:28:29.009931,device_offline_rate,设备离线率,1.0,2.0,percent,False,False
050ddb89569a,非核心园区-室外区域,2,2026-06-20T14:28:31.010597,entry_failure_rate,入园失败率,2.22,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,2,2026-06-20T14:28:31.010597,dock_conflict_rate,月台冲突率,0.77,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,2,2026-06-20T14:28:31.010597,device_offline_rate,设备离线率,1.06,2.0,percent,False,False
050ddb89569a,非核心园区-室外区域,3,2026-06-20T14:28:33.011016,entry_failure_rate,入园失败率,3.3,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,3,2026-06-20T14:28:33.011016,dock_conflict_rate,月台冲突率,2.45,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,3,2026-06-20T14:28:33.011016,device_offline_rate,设备离线率,0.62,2.0,percent,False,False
050ddb89569a,非核心园区-室外区域,4,2026-06-20T14:28:35.011508,entry_failure_rate,入园失败率,0.12,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,4,2026-06-20T14:28:35.011508,dock_conflict_rate,月台冲突率,1.78,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,4,2026-06-20T14:28:35.011508,device_offline_rate,设备离线率,0.65,2.0,percent,False,False
050ddb89569a,非核心园区-室外区域,5,2026-06-20T14:28:37.011892,entry_failure_rate,入园失败率,0.43,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,5,2026-06-20T14:28:37.011892,dock_conflict_rate,月台冲突率,0.31,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,5,2026-06-20T14:28:37.011892,device_offline_rate,设备离线率,0.88,2.0,percent,False,False
050ddb89569a,非核心园区-室外区域,6,2026-06-20T14:28:39.012411,entry_failure_rate,入园失败率,4.02,5.0,percent,False,False
050ddb89569a,非核心园区-室外区域,6,2026-06-20T14:28:39.012411,dock_conflict_rate,月台冲突率,1.8,3.0,percent,False,False
050ddb89569a,非核心园区-室外区域,6,2026-06-20T14:28:39.012411,device_offline_rate,设备离线率,1.14,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,1,2026-06-20T14:28:39.014145,entry_failure_rate,入园失败率,3.66,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,1,2026-06-20T14:28:39.014145,dock_conflict_rate,月台冲突率,0.63,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,1,2026-06-20T14:28:39.014145,device_offline_rate,设备离线率,0.17,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,2,2026-06-20T14:28:41.014717,entry_failure_rate,入园失败率,4.18,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,2,2026-06-20T14:28:41.014717,dock_conflict_rate,月台冲突率,1.08,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,2,2026-06-20T14:28:41.014717,device_offline_rate,设备离线率,0.24,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,3,2026-06-20T14:28:43.015572,entry_failure_rate,入园失败率,1.71,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,3,2026-06-20T14:28:43.015572,dock_conflict_rate,月台冲突率,1.67,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,3,2026-06-20T14:28:43.015572,device_offline_rate,设备离线率,1.48,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,4,2026-06-20T14:28:45.016235,entry_failure_rate,入园失败率,0.78,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,4,2026-06-20T14:28:45.016235,dock_conflict_rate,月台冲突率,1.41,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,4,2026-06-20T14:28:45.016235,device_offline_rate,设备离线率,0.39,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,5,2026-06-20T14:28:47.017095,entry_failure_rate,入园失败率,2.02,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,5,2026-06-20T14:28:47.017095,dock_conflict_rate,月台冲突率,0.83,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,5,2026-06-20T14:28:47.017095,device_offline_rate,设备离线率,1.67,2.0,percent,False,False
050ddb89569a,非核心园区-全区域,6,2026-06-20T14:28:49.017669,entry_failure_rate,入园失败率,0.52,5.0,percent,False,False
050ddb89569a,非核心园区-全区域,6,2026-06-20T14:28:49.017669,dock_conflict_rate,月台冲突率,0.23,3.0,percent,False,False
050ddb89569a,非核心园区-全区域,6,2026-06-20T14:28:49.017669,device_offline_rate,设备离线率,0.14,2.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,1,2026-06-20T14:28:49.019723,entry_failure_rate,入园失败率,3.65,5.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,1,2026-06-20T14:28:49.019723,dock_conflict_rate,月台冲突率,0.33,3.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,1,2026-06-20T14:28:49.019723,device_offline_rate,设备离线率,1.02,2.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,2,2026-06-20T14:28:51.020186,entry_failure_rate,入园失败率,0.27,5.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,2,2026-06-20T14:28:51.020186,dock_conflict_rate,月台冲突率,0.59,3.0,percent,False,False
050ddb89569a,核心枢纽园区-室外区域,2,2026-06-20T14:28:51.020186,device_offline_rate,设备离线率,0.87,2.0,percent,False,False
